station,type,from_line,to_line,minutes,raw
Moorgate (including First Capital Connect),interchange,Circle,Northern,7,
Moorgate (including First Capital Connect),interchange,Circle,First Capital Connect,6,
Moorgate (including First Capital Connect),interchange,Hammersmith & City,Metropolitan,4,
Moorgate (including First Capital Connect),interchange,Hammersmith & City,Northern,7,
Moorgate (including First Capital Connect),interchange,Hammersmith & City,First Capital Connect,6,
Moorgate (including First Capital Connect),interchange,Metropolitan,Northern,7,
Moorgate (including First Capital Connect),interchange,Metropolitan,First Capital Connect,6,
Moorgate (including First Capital Connect),interchange,Northern,First Capital Connect,2,
Moor Park,gate_to_platform,,,,1.5 minutes
Moor Park,interchange,Connections between different branches,,3,
Morden,gate_to_platform,,,,2 minutes
Mornington Crescent,gate_to_platform,,,,4 minutes
Mudchute,gate_to_platform,,,,2 minutes
Neasden,gate_to_platform,,,,2 minutes
Newbury Park,gate_to_platform,,,,2 minutes
New Cross,gate_to_platform,London Overground,,3,
New Cross,gate_to_platform,Southeastern,,3,
New Cross,interchange,London Overground,Southeastern,4,
New Cross,interchange,London Overground,Southeastern,4,
New Cross Gate,gate_to_platform,London Overground,,3,
New Cross Gate,gate_to_platform,Southern,,3,
New Cross Gate,interchange,London Overground,Southern,4,
New Cross Gate,interchange,London Overground,Southern,4,
North Acton,gate_to_platform,,,,2 minutes
North Ealing,gate_to_platform,,,,2 minutes
Northfields,gate_to_platform,,,,2 minutes
North Greenwich,gate_to_platform,,,,2 minutes
North Harrow,gate_to_platform,,,,2 minutes
Northolt,gate_to_platform,,,,2 minutes
North Wembley,gate_to_platform,Bakerloo,,2,
North Wembley,gate_to_platform,London Overground,,2,
North Wembley,interchange,Connections between Bakerloo line and London Overground services,,5,
North Wembley,interchange,Connections between Bakerloo line and London Overground services,,5,
Northwick Park,gate_to_platform,,,,2 minutes
Northwood,gate_to_platform,,,,2 minutes
Northwood Hills,gate_to_platform,,,,2 minutes
Norwood Junction,gate_to_platform,London Overground,,2,
Norwood Junction,gate_to_platform,Southern,,2,
Norwood Junction,interchange,London Overground,Southern,2,
Norwood Junction,interchange,London Overground,Southern,2,
Notting Hill Gate,gate_to_platform,Central,,6,
Notting Hill Gate,gate_to_platform,Circle,,2,
Notting Hill Gate,gate_to_platform,District,,2,
Notting Hill Gate,interchange,Central,Circle,4,
Notting Hill Gate,interchange,Central,District,4,
Notting Hill Gate,interchange,Circle,District,4,
Oakwood,gate_to_platform,,,,2 minutes
Old Street,gate_to_platform,First Capital Connect,,3,
Old Street,gate_to_platform,Northern,,3,
Old Street,interchange,First Capital Connect,Northern,3,
Old Street,interchange,First Capital Connect,Northern,3,
Osterley,gate_to_platform,,,,2 minutes
Oval,gate_to_platform,,,,3 minutes
Oxford Circus,gate_to_platform,Bakerloo,,4,
Oxford Circus,gate_to_platform,Central,,4,
Oxford Circus,gate_to_platform,Victoria,,4,
Oxford Circus,interchange,Bakerloo,Central,4,
Oxford Circus,interchange,Bakerloo,Victoria,4,
Oxford Circus,interchange,Central,Victoria,4,
Paddington,gate_to_platform,Bakerloo,,5,
Paddington,gate_to_platform,Circle,,2,
Paddington,gate_to_platform,District line platform,,2,
Paddington,gate_to_platform,District,,2,
Paddington,gate_to_platform,Hammersmith & City platform,,5,
Paddington,gate_to_platform,National Rail,,4,
Paddington,interchange,Bakerloo,Circle,7,
Paddington,interchange,Bakerloo,District,7,
Paddington,interchange,Bakerloo,Hammersmith & City,15,
Paddington,interchange,Bakerloo,National Rail,8,
Paddington,interchange,Circle,District,4,
Paddington,interchange,Circle,Hammersmith & City,13,
Paddington,interchange,Circle,National Rail,6,
Paddington,interchange,District,Hammersmith & City,13,
Paddington,interchange,District,National Rail,6,
Paddington,interchange,Hammersmith & City,National Rail,5,
Park Royal,gate_to_platform,,,,2 minutes
Parsons Green,gate_to_platform,,,,2 minutes
Penge West,gate_to_platform,London Overground,,2,
Penge West,gate_to_platform,Southern,,2,
Penge West,interchange,Connections between London Overground and Southern,,4,
Penge West,interchange,Connections between London Overground and Southern,,4,
Perivale,gate_to_platform,,,,2 minutes
Piccadilly Circus,gate_to_platform,Bakerloo,,5,
Piccadilly Circus,gate_to_platform,Piccadilly,,5,
Piccadilly Circus,interchange,Bakerloo,Piccadilly,3,
Piccadilly Circus,interchange,Bakerloo,Piccadilly,3,
Pimlico,gate_to_platform,,,,2 minutes
Pinner,gate_to_platform,,,,3 minutes
Plaistow,gate_to_platform,,,,2 minutes
Plaistow,interchange,Connections between District and Hammersmith & City,,4,
Pontoon Dock,gate_to_platform,,,,1 minute
Poplar,gate_to_platform,,,,2 minutes
Poplar,interchange,Connections between different DLR branches,,2,
Preston Road,gate_to_platform,,,,2 minutes
Prince Regent,gate_to_platform,,,,1.5 minutes
Pudding Mill Lane,gate_to_platform,,,,2 minutes
Putney Bridge,gate_to_platform,,,,2 minutes
Queensbury,gate_to_platform,,,,2 minutes
Queens Park,gate_to_platform,Bakerloo,,2,
Queens Park,gate_to_platform,London Overground,,25,
Queens Park,interchange,Bakerloo,London Overground,45,
Queens Park,interchange,Bakerloo,London Overground,45,
Queensway,gate_to_platform,,,,5 minutes
Ravenscourt Park,gate_to_platform,,,,2 minutes
Rayners Lane,gate_to_platform,Metropolitan,,2,
Rayners Lane,gate_to_platform,Piccadilly,,2,
Rayners Lane,interchange,Metropolitan,Piccadilly,4,
Rayners Lane,interchange,Metropolitan,Piccadilly,4,
Redbridge,gate_to_platform,,,,2 minutes
Regents Park,gate_to_platform,,,,3 minutes
Richmond,gate_to_platform,District,,2,
Richmond,gate_to_platform,London Overground,,2,
Richmond,gate_to_platform,South West Trains,,2,
Richmond,interchange,District,London Overground,4,
Richmond,interchange,District,South West Trains,4,
Richmond,interchange,London Overground,South West Trains,4,
Rickmansworth,gate_to_platform,Chiltern Railways,,3,
Rickmansworth,gate_to_platform,Metropolitan,,3,
Rickmansworth,interchange,Chiltern Railways,Metropolitan,3,
Rickmansworth,interchange,Chiltern Railways,Metropolitan,3,
Roding Valley,gate_to_platform,,,,3 minutes
Rotherhithe,gate_to_platform,,,,2 minutes
Royal Albert,gate_to_platform,,,,2 minutes
Royal Oak,gate_to_platform,Circle,,2,
Royal Oak,gate_to_platform,Hammersmith & City,,2,
Royal Oak,interchange,Connections between Circle and Hammersmith & City line,,2,
Royal Oak,interchange,Connections between Circle and Hammersmith & City line,,2,
Royal Victoria,gate_to_platform,,,,1.5 minutes
Ruislip,gate_to_platform,Metropolitan,,3,
Ruislip,gate_to_platform,Piccadilly,,3,
Ruislip,interchange,Connections between Metropolitan and Piccadilly line,,3,
Ruislip,interchange,Connections between Metropolitan and Piccadilly line,,3,
Ruislip Gardens,gate_to_platform,,,,2 minutes
Ruislip Manor,gate_to_platform,Metropolitan,,2,
Ruislip Manor,gate_to_platform,Piccadilly,,2,
Ruislip Manor,interchange,Connections between Metropolitan and Piccadilly line,,4,
Ruislip Manor,interchange,Connections between Metropolitan and Piccadilly line,,4,
Russell Square,gate_to_platform,,,,6 minutes
St.James’s Park,gate_to_platform,Circle,,2,
St.James’s Park,gate_to_platform,District,,2,
St.James’s Park,interchange,Connections between Circle and District lines,,4,
St.James’s Park,interchange,Connections between Circle and District lines,,4,
St John’s Wood,gate_to_platform,,,,2 minutes
St.Pauls,gate_to_platform,,,,4 minutes
Seven Sisters,gate_to_platform,National Express East Anglia,,10,
Seven Sisters,gate_to_platform,Victoria,,3,
Seven Sisters,interchange,National Express East Anglia,Victoria,7,
Seven Sisters,interchange,National Express East Anglia,Victoria,7,
Shadwell,gate_to_platform,DLR,,2,
Shadwell,gate_to_platform,London Overground,,3,
Shadwell,interchange,DLR,London Overground,5,
Shadwell,interchange,DLR,London Overground,5,
Shepherds Bush,gate_to_platform,Central,,3,
Shepherds Bush,gate_to_platform,London Overground,,3,
Shepherds Bush,interchange,Central,London Overground,8,
Shepherds Bush,interchange,Central,London Overground,8,
Shepherds Bush Market,gate_to_platform,Circle,,2,
Shepherds Bush Market,gate_to_platform,Hammersmith & City,,2,
Shepherds Bush Market,interchange,Connections between Circle and Hammersmith & City lines,,4,
Shepherds Bush Market,interchange,Connections between Circle and Hammersmith & City lines,,4,
Shoreditch High Street,gate_to_platform,,,,1 minute
Sloane Square,gate_to_platform,Circle,,2,
Sloane Square,gate_to_platform,District,,2,
Sloane Square,interchange,Connections between Circle and District lines,,5,
Sloane Square,interchange,Connections between Circle and District lines,,5,
Snaresbrook,gate_to_platform,,,,3 minutes
South Acton,gate_to_platform,,,,2 minutes
South Ealing,gate_to_platform,,,,2 minutes
Southfields,gate_to_platform,,,,2 minutes
Southgate,gate_to_platform,,,,2 minutes
South Hampstead,gate_to_platform,,,,2 minutes
South Harrow,gate_to_platform,,,,2 minutes
South Kensington,gate_to_platform,Circle,,2,
South Kensington,gate_to_platform,District,,2,
South Kensington,gate_to_platform,Piccadilly,,4,
South Kensington,interchange,Circle,District,2,
South Kensington,interchange,Circle,Piccadilly,4,
South Kensington,interchange,District,Piccadilly,4,
South Kenton,gate_to_platform,Bakerloo,,1,
South Kenton,gate_to_platform,London Overground,,1,
South Kenton,interchange,Bakerloo,London Overground,2,
South Kenton,interchange,Bakerloo,London Overground,2,
South Quay,gate_to_platform,,,,1 minute
South Ruislip,gate_to_platform,Central,,2,
South Ruislip,gate_to_platform,Chiltern Railways,,3,
South Ruislip,interchange,Central,Chiltern Railways,5,
South Ruislip,interchange,Central,Chiltern Railways,5,
South Tottenham,gate_to_platform,,,,2 minutes
Southwark,gate_to_platform,,,,5 minutes
South Wimbledon,gate_to_platform,,,,2 minutes
South Woodford,gate_to_platform,,,,3 minutes
Stamford Brook,gate_to_platform,,,,2 minutes
Stanmore,gate_to_platform,,,,1 minute
Star Lane,gate_to_platform,,,,1 minute
Stepney Green,gate_to_platform,District,,2,
Stepney Green,gate_to_platform,Hammersmith & City,,2,
Stepney Green,interchange,Connections between District and Hammersmith & City line,,4,
Stepney Green,interchange,Connections between District and Hammersmith & City line,,4,
Stockwell,gate_to_platform,Northern,,35,
Stockwell,gate_to_platform,Victoria,,35,
Stockwell,interchange,Connections between Northern Line and Victoria line trains,,3,
Stockwell,interchange,Connections between Northern Line and Victoria line trains,,3,
Stonebridge Park,gate_to_platform,Bakerloo,,3,
Stonebridge Park,gate_to_platform,London Overground,,3,
Stonebridge Park,interchange,Connections between Bakerloo and London Overground,,4,
Stonebridge Park,interchange,Connections between Bakerloo and London Overground,,4,
Stratford,gate_to_platform,Central,,2,
Stratford,gate_to_platform,DLR Stratford Int,,3,
Stratford,gate_to_platform,DLR Canary Wharf,,25,
Stratford,gate_to_platform,London Overground,,4,
Stratford,gate_to_platform,National Express East Anglia,,4,
Stratford,interchange,Central,DLR Stratford Int,4,
Stratford,interchange,Central,DLR Canary Wharf,3,
Stratford,interchange,Central,London Overground,5,
Stratford,interchange,Central,National Express East Anglia,5,
Stratford,interchange,DLR Stratford Int,DLR Canary Wharf,45,
Stratford,interchange,DLR Stratford Int,London Overground,6,
Stratford,interchange,DLR Stratford Int,National Express East Anglia,6,
Stratford,interchange,DLR Canary Wharf,London Overground,6,
Stratford,interchange,DLR Canary Wharf,National Express East Anglia,6,
Stratford,interchange,London Overground,National Express East Anglia,7,
Stratford International,gate_to_platform,DLR,,3,
Stratford International,gate_to_platform,Southeastern,,3,
Stratford International,interchange,DLR,Southeastern,6,
Stratford International,interchange,DLR,Southeastern,6,
Sudbury Hill,gate_to_platform,,,,2 minutes
Sudbury Town,gate_to_platform,,,,3 minutes
Surrey Quays,gate_to_platform,,,,3 minutes
Swiss Cottage,gate_to_platform,,,,2 minutes
Sydenham,gate_to_platform,London Overground,,2,
Sydenham,gate_to_platform,Southern,,2,
Sydenham,interchange,Connections between London Overground and Southern,,4,
Sydenham,interchange,Connections between London Overground and Southern,,4,
Temple,gate_to_platform,Circle,,2,
Temple,gate_to_platform,District,,2,
Temple,interchange,Connections between Circle and District,,4,
Temple,interchange,Connections between Circle and District,,4,
Theydon Bois,gate_to_platform,,,,3 minutes
Tooting Bec,gate_to_platform,,,,2 minutes
Tooting Broadway,gate_to_platform,,,,2 minutes
Tottenham Court Road,gate_to_platform,Central,,4,
Tottenham Court Road,gate_to_platform,Northern,,4,
Tottenham Court Road,interchange,Central,Northern,4,
Tottenham Court Road,interchange,Central,Northern,4,
Tottenham Hale,gate_to_platform,National Express East Anglia,,3,
Tottenham Hale,gate_to_platform,Victoria,,5,
Tottenham Hale,interchange,National Express East Anglia,Victoria,5,
Tottenham Hale,interchange,National Express East Anglia,Victoria,5,
Totteridge & Whetstone,gate_to_platform,,,,2 minutes
Tower Gateway,gate_to_platform,,,,3 minutes
Tower Hill,gate_to_platform,Circle,,1,
Tower Hill,gate_to_platform,District,,1,
Tower Hill,interchange,"Connections between Circle and District, and with terminating District",,2,
Tower Hill,interchange,"Connections between Circle and District, and with terminating District",,2,
Tufnell Park,gate_to_platform,,,,3 minutes
Turnham Green,gate_to_platform,District,,2,
Turnham Green,gate_to_platform,Piccadilly,,2,
Turnham Green,interchange,District (between branches),,4,
Turnham Green,interchange,District,Piccadilly,4,
Turnpike Lane,gate_to_platform,,,,2 minutes
Upminster,gate_to_platform,C2C,,25,
Upminster,gate_to_platform,District,,2,
Upminster,gate_to_platform,National Express East Anglia,,25,
Upminster,interchange,C2C,District,45,
Upminster,interchange,C2C,National Express East Anglia,5,
Upminster,interchange,District,National Express East Anglia,45,
Upminster Bridge,gate_to_platform,,,,2 minutes
Upney,gate_to_platform,,,,2 minutes
Upper Holloway,gate_to_platform,,,,4 minutes
Upton Park,gate_to_platform,,,,4 minutes
Upton Park,interchange,District,Hammersmith & City,4,
Uxbridge,gate_to_platform,Metropolitan,,1,
Uxbridge,gate_to_platform,Piccadilly,,1,
Uxbridge,interchange,Metropolitan,Piccadilly,1,
Uxbridge,interchange,Metropolitan,Piccadilly,1,
Vauxhall,gate_to_platform,,,,South West Trains
Vauxhall,gate_to_platform,Victoria,,2,
Vauxhall,interchange,South West Trains,Victoria,9,
Vauxhall,interchange,South West Trains,Victoria,9,
Victoria,gate_to_platform,Circle,,3,
Victoria,gate_to_platform,District,,3,
Victoria,gate_to_platform,,,,Southern (inc Gatwick Express)
Victoria,gate_to_platform,,,,Southeastern
Victoria,gate_to_platform,Victoria,,3,
Victoria,interchange,Circle,District,2,
Victoria,interchange,Circle,Southern,10,
Victoria,interchange,Circle,Southeastern,10,
Victoria,interchange,Circle,Victoria,4,
Victoria,interchange,District,Southern,10,
Victoria,interchange,District,Southeastern,10,
Victoria,interchange,District,Victoria,4,
Victoria,interchange,Southern,Southeastern,10,
Victoria,interchange,Southern,Victoria,10,
Victoria,interchange,Southeastern,Victoria,10,
Walthamstow Central,gate_to_platform,National Express East Anglia,,3,
Walthamstow Central,gate_to_platform,Victoria,,3,
Walthamstow Central,interchange,National Express East Anglia,Victoria,4,
Walthamstow Central,interchange,National Express East Anglia,Victoria,4,
Walthamstow Queens Road,gate_to_platform,,,,3 minutes
Wanstead,gate_to_platform,,,,2 minutes
Wanstead Park,gate_to_platform,,,,2 minutes
Wapping,gate_to_platform,,,,4 minutes
Warren Street,gate_to_platform,Northern,,6,
Warren Street,gate_to_platform,Victoria,,4,
Warren Street,interchange,Northern,Victoria,6,
Warren Street,interchange,Northern,Victoria,6,
Warwick Avenue,gate_to_platform,,,,2 minutes
Waterloo,gate_to_platform,Bakerloo,,6,
Waterloo,gate_to_platform,Jubilee,,6,
Waterloo,gate_to_platform,Northern,,6,
Waterloo,gate_to_platform,South West Trains,,6,
Waterloo,interchange,Bakerloo,Jubilee,6,
Waterloo,interchange,Bakerloo,Northern,4,
Waterloo,interchange,Bakerloo,South West Trains,10,
Waterloo,interchange,Jubilee,Northern,6,
Waterloo,interchange,Jubilee,South West Trains,11,
Waterloo,interchange,Northern,South West Trains,10,
Watford High Street,gate_to_platform,,,,2 minutes
Watford,gate_to_platform,,,,2 minutes
Watford Junction,gate_to_platform,London Overground,,4,
Watford Junction,gate_to_platform,London Midland,,4,
Watford Junction,gate_to_platform,Southern,,4,
Watford Junction,gate_to_platform,Virgin Trains,,4,
Watford Junction,interchange,London Overground,London Midland,5,
Watford Junction,interchange,London Overground,Southern,5,
Watford Junction,interchange,London Overground,Virgin Trains,5,
Watford Junction,interchange,London Midland,Southern,5,
Watford Junction,interchange,London Midland,Virgin Trains,5,
Watford Junction,interchange,Southern,Virgin Trains,5,
Wembley Central,gate_to_platform,Bakerloo,,25,
Wembley Central,gate_to_platform,London Overground,,25,
Wembley Central,gate_to_platform,Southern,,25,
Wembley Central,interchange,Bakerloo,London Overground,5,
Wembley Central,interchange,Bakerloo,Southern,5,
Wembley Central,interchange,London Overground,Southern,5,
Wembley Park,gate_to_platform,Jubilee,,2,
Wembley Park,gate_to_platform,Metropolitan,,2,
Wembley Park,interchange,Jubilee,Metropolitan,4,
Wembley Park,interchange,Jubilee,Metropolitan,4,
West Acton,gate_to_platform,,,,2 minutes
Westbourne Park,gate_to_platform,Circle,,2,
Westbourne Park,gate_to_platform,Hammersmith & City,,2,
Westbourne Park,interchange,Connections between Circle and Hammersmith & City lines,,4,
Westbourne Park,interchange,Connections between Circle and Hammersmith & City lines,,4,
West Brompton,gate_to_platform,District,,2,
West Brompton,gate_to_platform,London Overground,,3,
West Brompton,gate_to_platform,Southern,,3,
West Brompton,interchange,District,London Overground,5,
West Brompton,interchange,District,Southern,5,
West Brompton,interchange,London Overground,Southern,5,
West Croydon,gate_to_platform,London Overground,,2,
West Croydon,gate_to_platform,Southern,,2,
West Croydon,interchange,London Overground,Southern,4,
West Croydon,interchange,London Overground,Southern,4,
Westferry,gate_to_platform,,,,2 minutes
Westferry,interchange,Interchange between different DLR branches,,4,
West Finchley,gate_to_platform,,,,3 minutes
West Ham,gate_to_platform,C2C,,25,
West Ham,gate_to_platform,District,,2,
West Ham,gate_to_platform,DLR,,3,
West Ham,gate_to_platform,Hammersmith & City,,2,
West Ham,gate_to_platform,Jubilee,,3,
West Ham,interchange,C2C,District,45,
West Ham,interchange,C2C,DLR,55,
West Ham,interchange,C2C,Hammersmith & City,45,
West Ham,interchange,C2C,Jubilee,55,
West Ham,interchange,District,DLR,5,
West Ham,interchange,District,Hammersmith & City,5,
West Ham,interchange,District,Jubilee,5,
West Ham,interchange,DLR,Hammersmith & City,5,
West Ham,interchange,DLR,Jubilee,3,
West Ham,interchange,,,,Hammersmith & City to Jubilee
West Hampstead,gate_to_platform,Jubilee,,1,
West Hampstead,gate_to_platform,London Overground,,15,
West Hampstead,interchange,Jubilee,London Overground,35,
West Hampstead,interchange,Jubilee,London Overground,35,
West Harrow,gate_to_platform,,,,2 minutes
West India Quay,gate_to_platform,,,,3 minutes
West India Quay,interchange,,,,Interchange between different DLR branches
West Kensington,gate_to_platform,,,,2 minutes
Westminster,gate_to_platform,Circle,,2,
Westminster,gate_to_platform,District,,2,
Westminster,gate_to_platform,Jubilee,,6,
Westminster,interchange,Circle,District,4,
Westminster,interchange,Circle,Jubilee,6,
Westminster,interchange,District,Jubilee,6,
West Ruislip,gate_to_platform,Central,,2,
West Ruislip,gate_to_platform,Chiltern Railways,,3,
West Ruislip,interchange,Central,Chiltern Railways,5,
West Ruislip,interchange,Central,Chiltern Railways,5,
West Silvertown,gate_to_platform,,,,1 minute
Whitechapel,gate_to_platform,Hammersmith & City,,3,
Whitechapel,gate_to_platform,District,,3,
Whitechapel,gate_to_platform,London Overground,,2,
Whitechapel,interchange,Hammersmith & City,District,2,
Whitechapel,interchange,Hammersmith & City,London Overground,5,
Whitechapel,interchange,District,London Overground,5,
White City,gate_to_platform,,,,2 minutes
Willesden Green,gate_to_platform,,,,2 minutes
Willesden Junction,gate_to_platform,Bakerloo,,2,
Willesden Junction,gate_to_platform,London Overground (Watford),,2,
Willesden Junction,gate_to_platform,London Overground (North/West London Lines),,6,
Willesden Junction,interchange,Bakerloo,London Overground (Watford),4,
Willesden Junction,interchange,Bakerloo,London Overground (North/West London Lines),5,
Willesden Junction,interchange,London Overground (Watford),London Overground (North/West London Lines),5,
Willesden Junction,interchange,London Overground (between North and West London Lines),,3,
Wimbledon,gate_to_platform,District,,2,
Wimbledon,gate_to_platform,South West Trains,,3,
Wimbledon,gate_to_platform,Tramlink,,2,
Wimbledon,interchange,District,South West Trains,5,
Wimbledon,interchange,District,Tramlink,4,
Wimbledon,interchange,South West Trains,Tramlink,5,
Wimbledon Park,gate_to_platform,,,,2 minutes
Woodford,gate_to_platform,,,,3 minutes
Woodford,interchange,Connections between different branches,,3,
Woodgrange Park,gate_to_platform,,,,4 minutes
Wood Green,gate_to_platform,,,,2 minutes
Wood Lane,gate_to_platform,,,,2 minutes
Woodside Park,gate_to_platform,,,,3 minutes
Woolwich Arsenal,gate_to_platform,DLR,,4,
Woolwich Arsenal,gate_to_platform,Southeastern,,4,
Woolwich Arsenal,interchange,DLR,Southeastern,4,
